,tweets,user_name,location,geo,ftokens,lemma,positive,neutral,negative
174,Welp we just had our 1st positive covid test at my news station 🤦‍♂️,GotABigRich,EA6 ----GSU,,"['welp', '1st', 'positive', 'covid', 'test', 'news', 'station', '🤦\u200d♂️']","['welp', '1st', 'positive', 'covid', 'test', 'news', 'station', '🤦\u200d♂️']",1,0,0
175,  Its to help you not to become a covid patient ,belizemarc,AT SEA,,"['help', 'become', 'covid', 'patient']","['help', 'become', 'covid', 'patient']",0,1,0
176,  South Korea and the USA had the first COVID deaths on the same day What did they do right to keep d… ,bsmithoakland,"Oakland, CA",,"['south', 'korea', 'usa', 'first', 'covid', 'deaths', 'day', 'right', 'keep', 'd…']","['south', 'korea', 'usa', 'first', 'covid', 'death', 'day', 'right', 'keep', 'd…']",1,0,0
177,Former Oklahoma OL Lane Johnson tests positive for COVID19  Sooners,SoonerApp,"Norman, OK",,"['former', 'oklahoma', 'ol', 'lane', 'johnson', 'tests', 'positive', 'covid19', 'sooners']","['former', 'oklahoma', 'ol', 'lane', 'johnson', 'test', 'positive', 'covid19', 'sooner']",1,0,0
178,i think i’m dreading getting a covid test more than actually getting my wisdom teeth out ,maryyroot,"Centerville, OH",,"['think', '’', 'dreading', 'getting', 'covid', 'test', 'actually', 'getting', 'wisdom', 'teeth']","['think', '’', 'dread', 'get', 'covid', 'test', 'actually', 'get', 'wisdom', 'teeth']",1,0,0
179, Lol  And he gets the honor of getting tested for COVID Thanks to stupid Louie no mask  Gomert… ,stevementzer4,"Des Moines, IA",,"['lol', 'gets', 'honor', 'getting', 'tested', 'covid', 'thanks', 'stupid', 'louie', 'mask', 'gomert…']","['lol', 'get', 'honor', 'get', 'test', 'covid', 'thanks', 'stupid', 'louie', 'mask', 'gomert…']",1,0,0
180,  A motorcycle accident was listed as a Covid 19 death in Fl Get a task force… ,gpnavonod,"Florida, USA",,"['motorcycle', 'accident', 'listed', 'covid', '19', 'death', 'fl', 'get', 'task', 'force…']","['motorcycle', 'accident', 'list', 'covid', '19', 'death', 'fl', 'get', 'task', 'force…']",0,1,0
181,  No medical malpractice suits of any kind until 2024 is in that bill as well Covid related or not,Robin1226,,,"['medical', 'malpractice', 'suits', 'kind', '2024', 'bill', 'well', 'covid', 'related']","['medical', 'malpractice', 'suit', 'kind', '2024', 'bill', 'well', 'covid', 'relate']",1,0,0
182, Mixed Earner workers need your help I am asking that you work to revise the PUA program to protect se… ,Johnabermudez1,NYC,,"['mixed', 'earner', 'workers', 'need', 'help', 'asking', 'work', 'revise', 'pua', 'program', 'protect', 'se…']","['mixed', 'earner', 'worker', 'need', 'help', 'ask', 'work', 'revise', 'pua', 'program', 'protect', 'se…']",0,1,0
183, “Were going to be asked and rightly so what can we do to increase our testing accelerate the lab turn… ,senatortomdavis,"Beaufort, South Carolina",,"['“', 'going', 'asked', 'rightly', 'increase', 'testing', 'accelerate', 'lab', 'turn…']","['“', 'go', 'ask', 'rightly', 'increase', 'test', 'accelerate', 'lab', 'turn…']",1,0,0
184, Making the boxes for covid test kits has effected sales this time of year girl ,POISONxJU,,,"['making', 'boxes', 'covid', 'test', 'kits', 'effected', 'sales', 'time', 'year', 'girl']","['make', 'box', 'covid', 'test', 'kit', 'effect', 'sale', 'time', 'year', 'girl']",0,1,0
185, why does Barr and Gohmert have access to  rapid testing they dont even believe covid is real or… ,PalomaStovall,,,"['barr', 'gohmert', 'access', 'rapid', 'testing', 'dont', 'even', 'believe', 'covid', 'real', 'or…']","['barr', 'gohmert', 'access', 'rapid', 'test', 'dont', 'even', 'believe', 'covid', 'real', 'or…']",1,0,0
186,We need to rethink the structures that encourage knowledge production in a fundamental way Amen  ,kellyjholloway,"Toronto, Ontario",,"['need', 'rethink', 'structures', 'encourage', 'knowledge', 'production', 'fundamental', 'way', 'amen']","['need', 'rethink', 'structure', 'encourage', 'knowledge', 'production', 'fundamental', 'way', 'amen']",0,1,0
187, Mixed Earner workers need your help I am asking that you work to revise the PUA program to protect se… ,Johnabermudez1,NYC,,"['mixed', 'earner', 'workers', 'need', 'help', 'asking', 'work', 'revise', 'pua', 'program', 'protect', 'se…']","['mixed', 'earner', 'worker', 'need', 'help', 'ask', 'work', 'revise', 'pua', 'program', 'protect', 'se…']",0,1,0
188,US coronavirus deaths top 150000 highest toll worldwide SmartNews  ,jn_ssg,"South Haven, MI",,"['us', 'coronavirus', 'deaths', 'top', '150000', 'highest', 'toll', 'worldwide', 'smartnews']","['u', 'coronavirus', 'death', 'top', '150000', 'high', 'toll', 'worldwide', 'smartnews']",1,0,0
189,The countys death rate currently sits at about 2 percent A large majority of the people who get COVID dont die… ,LAWinkley,"San Diego, CA",,"['countys', 'death', 'rate', 'currently', 'sits', '2', 'percent', 'large', 'majority', 'people', 'get', 'covid', 'dont', 'die…']","['countys', 'death', 'rate', 'currently', 'sit', '2', 'percent', 'large', 'majority', 'people', 'get', 'covid', 'dont', 'die…']",1,0,0
190, Mixed Earner workers need your help I am asking that you work to revise the PUA program to protect… ,Johnabermudez1,NYC,,"['mixed', 'earner', 'workers', 'need', 'help', 'asking', 'work', 'revise', 'pua', 'program', 'protect…']","['mixed', 'earner', 'worker', 'need', 'help', 'ask', 'work', 'revise', 'pua', 'program', 'protect…']",0,1,0
191,  America is 1 in COVID19 deaths ,drsistrunk,Atlanta GA,,"['america', '1', 'covid19', 'deaths']","['america', '1', 'covid19', 'death']",0,1,0
192,   Everyone needs to protest and loot  The covid will then go away,GaustadEric,"Minnesota, USA",,"['everyone', 'needs', 'protest', 'loot', 'covid', 'go', 'away']","['everyone', 'need', 'protest', 'loot', 'covid', 'go', 'away']",0,1,0
193,DamnThe first dog to test positive for coronavirus in the US has died via  ,glenrockcity,United States,,"['damnthe', 'first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via']","['damnthe', 'first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via']",1,0,0
194,The first dog to test positive for coronavirus in the US has died via    how sad,robertrolwing,"Chicago,Il,USA",,"['first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via', 'sad']","['first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via', 'sad']",0,0,1
195, Congratulations sir Covid is not a death sentence Still keep safe,Sexyigwe,Lag,,"['congratulations', 'sir', 'covid', 'death', 'sentence', 'still', 'keep', 'safe']","['congratulation', 'sir', 'covid', 'death', 'sentence', 'still', 'keep', 'safe']",1,0,0
196,  So if your state refuses to allow your doctor to prescribe a proven drug to help cur… ,nanci1028,USA 🇱🇷,,"['state', 'refuses', 'allow', 'doctor', 'prescribe', 'proven', 'drug', 'help', 'cur…']","['state', 'refuse', 'allow', 'doctor', 'prescribe', 'proven', 'drug', 'help', 'cur…']",0,1,0
197,   Is that why Russia is doing so good as far as deaths per capita from covid19 in the worldSo it works,AlRich59291621,,,"['russia', 'good', 'far', 'deaths', 'per', 'capita', 'covid19', 'worldso', 'works']","['russia', 'good', 'far', 'death', 'per', 'caput', 'covid19', 'worldso', 'work']",1,0,0
198,Wrong again  We need a families amp economyfirst COVIDrelief package NOT one that boosts wealthy co… ,ShelbyRatifyERA,,,"['wrong', 'need', 'families', 'amp', 'economyfirst', 'covidrelief', 'package', 'one', 'boosts', 'wealthy', 'co…']","['wrong', 'need', 'family', 'amp', 'economyfirst', 'covidrelief', 'package', 'one', 'boost', 'wealthy', 'co…']",0,1,0
199,covid tests came back as negative now my anxiety can FUCK OFF,peeksheeshu,chicago,,"['covid', 'tests', 'came', 'back', 'negative', 'anxiety', 'fuck']","['covid', 'test', 'come', 'back', 'negative', 'anxiety', 'fuck']",0,0,1
200,OMG once someone tests positive they should probably wear a mask ignoranceondisplay politics politician… ,herman_johansen,"Albuquerque, NM",,"['omg', 'someone', 'tests', 'positive', 'probably', 'wear', 'mask', 'ignoranceondisplay', 'politics', 'politician…']","['omg', 'someone', 'test', 'positive', 'probably', 'wear', 'mask', 'ignoranceondisplay', 'politics', 'politician…']",1,0,0
201,Soooooo The big girl has been exposed to someone who has tested positive for Covid19 The coworker took a test la… ,the_mcguire,,,"['soooooo', 'big', 'girl', 'exposed', 'someone', 'tested', 'positive', 'covid19', 'coworker', 'took', 'test', 'la…']","['soooooo', 'big', 'girl', 'expose', 'someone', 'test', 'positive', 'covid19', 'coworker', 'take', 'test', 'la…']",1,0,0
202,Up to 13 Covid19 deaths in Victoria in the past 24 hours This is worse the the UK amp New Yorks latest daily num… ,sophieelsworth,"Melbourne, Victoria",,"['13', 'covid19', 'deaths', 'victoria', 'past', '24', 'hours', 'worse', 'uk', 'amp', 'new', 'yorks', 'latest', 'daily', 'num…']","['13', 'covid19', 'death', 'victoria', 'past', '24', 'hour', 'bad', 'uk', 'amp', 'new', 'york', 'late', 'daily', 'num…']",0,0,1
203,I just read that on July 11 we had the first COVIDrelated death of a dog Thats just low 2020,unabridge,,,"['read', 'july', '11', 'first', 'covidrelated', 'death', 'dog', 'thats', 'low', '2020']","['read', 'july', '11', 'first', 'covidrelated', 'death', 'dog', 'thats', 'low', '2020']",1,0,0
204, Look how much they did to help out with the COVID  not one god damn bit  Dems most go,Chal3515,Southern New Jersey ,,"['look', 'much', 'help', 'covid', 'one', 'god', 'damn', 'bit', 'dems', 'go']","['look', 'much', 'help', 'covid', 'one', 'god', 'damn', 'bit', 'dems', 'go']",1,0,0
205,    front line hospitals workers are willing to work with sick patients and… ,WhatsupWatson_,,,"['front', 'line', 'hospitals', 'workers', 'willing', 'work', 'sick', 'patients', 'and…']","['front', 'line', 'hospital', 'worker', 'willing', 'work', 'sick', 'patient', 'and…']",0,0,1
206,       These are issues that need ad… ,RTS_Gamer321098,,,"['issues', 'need', 'ad…']","['issue', 'need', 'ad…']",0,1,0
207,COVID19 fart test are inconclusive They are bringing  for a critical sniff test More to come ,ScottFree1776,,,"['covid19', 'fart', 'test', 'inconclusive', 'bringing', 'critical', 'sniff', 'test', 'come']","['covid19', 'fart', 'test', 'inconclusive', 'bring', 'critical', 'sniff', 'test', 'come']",1,0,0
208,I really just met Paul online today with discussing COVID data He shows how easy it is to get tested Please if y… ,MikeBReporter,Maryland,,"['really', 'met', 'paul', 'online', 'today', 'discussing', 'covid', 'data', 'shows', 'easy', 'get', 'tested', 'please', 'y…']","['really', 'meet', 'paul', 'online', 'today', 'discuss', 'covid', 'data', 'show', 'easy', 'get', 'test', 'please', 'y…']",1,0,0
209,  This is in correct Democrats just don’t want this drug to help at all with Covid This drug… ,Jillru13Russo,,,"['correct', 'democrats', '’', 'want', 'drug', 'help', 'covid', 'drug…']","['correct', 'democrat', '’', 'want', 'drug', 'help', 'covid', 'drug…']",0,1,0
210,Pelosi mandates masks in US House after rep tests positive for COVID19 ,journalnews,"Butler County, Ohio",,"['pelosi', 'mandates', 'masks', 'us', 'house', 'rep', 'tests', 'positive', 'covid19']","['pelosi', 'mandate', 'mask', 'u', 'house', 'rep', 'test', 'positive', 'covid19']",1,0,0
211, Perhaps you should speak to dear leader he doesnt want tests Or maybe speak to Rep Covid,CandaceSidebot1,Ohio,,"['perhaps', 'speak', 'dear', 'leader', 'doesnt', 'want', 'tests', 'maybe', 'speak', 'rep', 'covid']","['perhaps', 'speak', 'dear', 'leader', 'doesnt', 'want', 'test', 'maybe', 'speak', 'rep', 'covid']",0,1,0
212,THE FEAR MONGERING CONTINUESA hospital in Frankfurt Germany claims that that 79 of the 16 million people who hav… ,QuatloosX,,,"['fear', 'mongering', 'continuesa', 'hospital', 'frankfurt', 'germany', 'claims', '79', '16', 'million', 'people', 'hav…']","['fear', 'monger', 'continuesa', 'hospital', 'frankfurt', 'germany', 'claim', '79', '16', 'million', 'people', 'hav…']",0,1,0
213, And how many are “actual”COVID deaths versus how many are inaccurately coded as COVID deaths I do… ,takeastand4usa,,,"['many', '“', 'actual', '”', 'covid', 'deaths', 'versus', 'many', 'inaccurately', 'coded', 'covid', 'deaths', 'do…']","['many', '“', 'actual', '”', 'covid', 'death', 'versus', 'many', 'inaccurately', 'cod', 'covid', 'death', 'do…']",1,0,0
214,And per  yesterday students and faculty wont be required to get tested for COVID19 before coming b… ,sara__pequeno,"Durham, NC",,"['per', 'yesterday', 'students', 'faculty', 'wont', 'required', 'get', 'tested', 'covid19', 'coming', 'b…']","['per', 'yesterday', 'student', 'faculty', 'wont', 'require', 'get', 'test', 'covid19', 'come', 'b…']",0,1,0
215,Experimental New COVID Test Could Actually Change Everything,GranniesOpinion,"Arizona, USA",,"['experimental', 'new', 'covid', 'test', 'could', 'actually', 'change', 'everything']","['experimental', 'new', 'covid', 'test', 'could', 'actually', 'change', 'everything']",1,0,0
216,After refusing to wear a mask Louie Gohmert MUST stick to his guns and refuse ALL medical care for covid Ventilato… ,bobpowers1,Brooklyn,,"['refusing', 'wear', 'mask', 'louie', 'gohmert', 'must', 'stick', 'guns', 'refuse', 'medical', 'care', 'covid', 'ventilato…']","['refuse', 'wear', 'mask', 'louie', 'gohmert', 'must', 'stick', 'gun', 'refuse', 'medical', 'care', 'covid', 'ventilato…']",0,1,0
217,Brazil registered a record number of coronavirus cases and deaths  from  for    via ,MikeShepard4,"Washington, DC",,"['brazil', 'registered', 'record', 'number', 'coronavirus', 'cases', 'deaths', 'via']","['brazil', 'register', 'record', 'number', 'coronavirus', 'case', 'death', 'via']",0,1,0
218,US hits 150000 deaths from COVID19 as states struggle to halt resurgence – USA TODAY ,ratemytopics,,,"['us', 'hits', '150000', 'deaths', 'covid19', 'states', 'struggle', 'halt', 'resurgence', '–', 'usa', 'today']","['u', 'hit', '150000', 'death', 'covid19', 'state', 'struggle', 'halt', 'resurgence', '–', 'usa', 'today']",0,1,0
219,I JUST WANNA BE ABLE TO TAKE MY KIDS TO THE PARK BUT NO FUCK US LETS JUST HAVE FUCKING COVID AND CONTINUE TO SPREAD IT,Samantha__Dyal,Stank ass Florida,,"['wan', 'na', 'able', 'take', 'kids', 'park', 'fuck', 'us', 'lets', 'fucking', 'covid', 'continue', 'spread']","['wan', 'na', 'able', 'take', 'kid', 'park', 'fuck', 'u', 'let', 'fuck', 'covid', 'continue', 'spread']",1,0,0
220,KSD announces that a student that attended the 700 commencement ceremony on Saturday has tested positive for COVID… ,1027FMRocks,"Kearney, MO",,"['ksd', 'announces', 'student', 'attended', '700', 'commencement', 'ceremony', 'saturday', 'tested', 'positive', 'covid…']","['ksd', 'announces', 'student', 'attend', '700', 'commencement', 'ceremony', 'saturday', 'test', 'positive', 'covid…']",1,0,0
221,Pelosi mandates masks in US House after rep tests positive for COVID19 ,springfieldnews,"Springfield, Ohio",,"['pelosi', 'mandates', 'masks', 'us', 'house', 'rep', 'tests', 'positive', 'covid19']","['pelosi', 'mandate', 'mask', 'u', 'house', 'rep', 'test', 'positive', 'covid19']",1,0,0
222, I thought you were in line for a COVID test,PhillipsOthell,"Gardendale, AL",,"['thought', 'line', 'covid', 'test']","['think', 'line', 'covid', 'test']",0,1,0
223,     The worldwide death rate right now from COVID19 is… ,DamageMean,Canada,,"['worldwide', 'death', 'rate', 'right', 'covid19', 'is…']","['worldwide', 'death', 'rate', 'right', 'covid19', 'is…']",1,0,0
224,wait do americans have to pay for a covid test,fullsunnana,🌱💜 | she/her,,"['wait', 'americans', 'pay', 'covid', 'test']","['wait', 'american', 'pay', 'covid', 'test']",0,1,0
225,Hot out there and hot in here ☀️ALT CAPTION Testing out my hypothesis for my research paper Do Jalapenos K… ,KgGloyne,Oklahoma,,"['hot', 'hot', '☀️alt', 'caption', 'testing', 'hypothesis', 'research', 'paper', 'jalapenos', 'k…']","['hot', 'hot', '☀️alt', 'caption', 'test', 'hypothesis', 'research', 'paper', 'jalapeno', 'k…']",1,0,0
226, No fans in stadiums or venues for HS Kids need some sort of outlet My two cents I’m not an expert on Covid 19,mikeeberhart21,"Barberton, OH",,"['fans', 'stadiums', 'venues', 'hs', 'kids', 'need', 'sort', 'outlet', 'two', 'cents', '’', 'expert', 'covid', '19']","['fan', 'stadium', 'venue', 'hs', 'kid', 'need', 'sort', 'outlet', 'two', 'cent', '’', 'expert', 'covid', '19']",0,1,0
227,Are there  reviews of COVID testing sites in terms of testing accuracy and speed,DyHrdMET,"NJ, USA",,"['reviews', 'covid', 'testing', 'sites', 'terms', 'testing', 'accuracy', 'speed']","['review', 'covid', 'test', 'site', 'term', 'test', 'accuracy', 'speed']",0,1,0
228,Do we need to make videos of covid victims falling from burning buildings Will that make people care,deadwisdom,"Chicago, IL",,"['need', 'make', 'videos', 'covid', 'victims', 'falling', 'burning', 'buildings', 'make', 'people', 'care']","['need', 'make', 'videos', 'covid', 'victim', 'fall', 'burn', 'building', 'make', 'people', 'care']",0,1,0
229,This decision has been made in consultation with scientific and medical experts with the goal of delivering our qua… ,NAUPresident,"Flagstaff, AZ",,"['decision', 'made', 'consultation', 'scientific', 'medical', 'experts', 'goal', 'delivering', 'qua…']","['decision', 'make', 'consultation', 'scientific', 'medical', 'expert', 'goal', 'deliver', 'qua…']",0,1,0
230,More children testing positive for COVID19 spikes more than 100 in some parts of west Tennessee  via ,EndGameWW3,America,,"['children', 'testing', 'positive', 'covid19', 'spikes', '100', 'parts', 'west', 'tennessee', 'via']","['child', 'test', 'positive', 'covid19', 'spike', '100', 'part', 'west', 'tennessee', 'via']",1,0,0
231,VOLUNTEERS NEEDED Blair County officials say contact tracing is a key step in limiting the spread of COVID19 The… ,WJACTV,West-Central Pennsylvania,,"['volunteers', 'needed', 'blair', 'county', 'officials', 'say', 'contact', 'tracing', 'key', 'step', 'limiting', 'spread', 'covid19', 'the…']","['volunteer', 'need', 'blair', 'county', 'official', 'say', 'contact', 'trace', 'key', 'step', 'limit', 'spread', 'covid19', 'the…']",0,1,0
232,The first dog to test positive for coronavirus in the US has died via  ,SuzanneinLGB,So Cal,,"['first', 'dog', 'test', 'positive', 'coronavirus', 'us', 'died', 'via']","['first', 'dog', 'test', 'positive', 'coronavirus', 'u', 'die', 'via']",1,0,0
233,WE NEED YOUR HELP  Brave Frontline COVID Doc Stella Immanuel Asks Patients Who Have Been Cured by HCQ to Speak U… ,StevenBoone2007,"Milford, OH",,"['need', 'help', 'brave', 'frontline', 'covid', 'doc', 'stella', 'immanuel', 'asks', 'patients', 'cured', 'hcq', 'speak', 'u…']","['need', 'help', 'brave', 'frontline', 'covid', 'doc', 'stella', 'immanuel', 'ask', 'patient', 'cure', 'hcq', 'speak', 'u…']",1,0,0
234, Since plussyKnight’s death I been donating money to Charity for COVID  I don’t want anyone died to COVID19,Makoto33280131,,,"['since', 'plussyknight', '’', 'death', 'donating', 'money', 'charity', 'covid', '’', 'want', 'anyone', 'died', 'covid19']","['since', 'plussyknight', '’', 'death', 'donate', 'money', 'charity', 'covid', '’', 'want', 'anyone', 'die', 'covid19']",0,1,0
235,This is the only proof you need to know the  are intentionally genocidingmurdering the elderly and their weapo… ,REMOVEGOP,,,"['proof', 'need', 'know', 'intentionally', 'genocidingmurdering', 'elderly', 'weapo…']","['proof', 'need', 'know', 'intentionally', 'genocidingmurdering', 'elderly', 'weapo…']",0,1,0
236,COVID TODAY  Total alleged cases  13 of the US population over 90 asymptomatic  alleged COVID deaths includi… ,JBWilliams4,"Cheyenne, WY",,"['covid', 'today', 'total', 'alleged', 'cases', '13', 'us', 'population', '90', 'asymptomatic', 'alleged', 'covid', 'deaths', 'includi…']","['covid', 'today', 'total', 'allege', 'case', '13', 'u', 'population', '90', 'asymptomatic', 'allege', 'covid', 'death', 'includi…']",0,0,1
237,Poll Trump approval rating dips amid surging COVID19 cases deaths  It makes me wonder how… ,dnbct203,,,"['poll', 'trump', 'approval', 'rating', 'dips', 'amid', 'surging', 'covid19', 'cases', 'deaths', 'makes', 'wonder', 'how…']","['poll', 'trump', 'approval', 'rating', 'dip', 'amid', 'surge', 'covid19', 'case', 'death', 'make', 'wonder', 'how…']",0,1,0
238,Open SmartNews to read US coronavirus deaths top 150000 highest toll worldwide here … ,GRevmgbrown4,"Washington, DC.",,"['open', 'smartnews', 'read', 'us', 'coronavirus', 'deaths', 'top', '150000', 'highest', 'toll', 'worldwide', '…']","['open', 'smartnews', 'read', 'u', 'coronavirus', 'death', 'top', '150000', 'high', 'toll', 'worldwide', '…']",1,0,0
239, Hey dr dan Long term effects of COVID Heart damage  Sorry not going to take medical advice from… ,VinceNatale,,,"['hey', 'dr', 'dan', 'long', 'term', 'effects', 'covid', 'heart', 'damage', 'sorry', 'going', 'take', 'medical', 'advice', 'from…']","['hey', 'dr', 'dan', 'long', 'term', 'effect', 'covid', 'heart', 'damage', 'sorry', 'go', 'take', 'medical', 'advice', 'from…']",0,0,1
240,    Franklin County COVID Deaths by Age019  0 deaths2029 1… ,randomp02815063,,,"['franklin', 'county', 'covid', 'deaths', 'age019', '0', 'deaths2029', '1…']","['franklin', 'county', 'covid', 'death', 'age019', '0', 'deaths2029', '1…']",0,1,0
241,COVID19 Early in our encounter with it medical professionals depended on past COVID information Recognize that… ,hmagee64,USA,,"['covid19', 'early', 'encounter', 'medical', 'professionals', 'depended', 'past', 'covid', 'information', 'recognize', 'that…']","['covid19', 'early', 'encounter', 'medical', 'professional', 'depend', 'past', 'covid', 'information', 'recognize', 'that…']",0,0,1
242,Open SmartNews to read US coronavirus deaths top 150000 highest toll worldwide here … ,GRevmgbrown4,"Washington, DC.",,"['open', 'smartnews', 'read', 'us', 'coronavirus', 'deaths', 'top', '150000', 'highest', 'toll', 'worldwide', '…']","['open', 'smartnews', 'read', 'u', 'coronavirus', 'death', 'top', '150000', 'high', 'toll', 'worldwide', '…']",1,0,0
243,  12 cutouts have already tested positive for covid,JohnDiCola,"Aldan, PA",,"['12', 'cutouts', 'already', 'tested', 'positive', 'covid']","['12', 'cutout', 'already', 'test', 'positive', 'covid']",1,0,0
244,   covid testing is a joke No results yet after 15 days though the site says 6… ,HemantSurana10,,,"['covid', 'testing', 'joke', 'results', 'yet', '15', 'days', 'though', 'site', 'says', '6…']","['covid', 'test', 'joke', 'result', 'yet', '15', 'day', 'though', 'site', 'say', '6…']",0,1,0
245,Well my Covid Test came back Negative When you go out in Public please wear your Mask ,FlawlessCowboy4,,,"['well', 'covid', 'test', 'came', 'back', 'negative', 'go', 'public', 'please', 'wear', 'mask']","['well', 'covid', 'test', 'come', 'back', 'negative', 'go', 'public', 'please', 'wear', 'mask']",0,0,1
246,  There is that and then the parents rush to the hospital finding out that on Day 3 of back t… ,godfist314,"North Carolina, USA",,"['parents', 'rush', 'hospital', 'finding', 'day', '3', 'back', 't…']","['parent', 'rush', 'hospital', 'finding', 'day', '3', 'back', 't…']",0,1,0
247,The key to defeating COVID19 already exists We need to start using it Obama took it in 2009 with the H1N1 crises… ,KeoniHawaii,,,"['key', 'defeating', 'covid19', 'already', 'exists', 'need', 'start', 'using', 'obama', 'took', '2009', 'h1n1', 'crises…']","['key', 'defeat', 'covid19', 'already', 'exist', 'need', 'start', 'use', 'obama', 'take', '2009', 'h1n1', 'crises…']",0,1,0
248, Kevin McCarthy sounds here like he just learned that people can have and spread Covid without any sym… ,CenterBeautiful,United States,,"['kevin', 'mccarthy', 'sounds', 'like', 'learned', 'people', 'spread', 'covid', 'without', 'sym…']","['kevin', 'mccarthy', 'sound', 'like', 'learned', 'people', 'spread', 'covid', 'without', 'sym…']",0,1,0
249,maybe I need to hold off on making this covidrash decision,RJ_Howes,Australian Hidradenitis Suppurativa Existential Abyss,,"['maybe', 'need', 'hold', 'making', 'covidrash', 'decision']","['maybe', 'need', 'hold', 'make', 'covidrash', 'decision']",0,1,0
250,  Chappelle is funding COVID testing for everyone that comes into town for the shows Testing every 4 days,BobbyHackney,"Dayton, OH",,"['chappelle', 'funding', 'covid', 'testing', 'everyone', 'comes', 'town', 'shows', 'testing', 'every', '4', 'days']","['chappelle', 'funding', 'covid', 'test', 'everyone', 'come', 'town', 'show', 'test', 'every', '4', 'day']",0,1,0
251,covid19 trump nursinghomesABC News Prime US COVID19 death toll tops 150k Protecting nursing homes Roller sk… ,unknown459856,,,"['covid19', 'trump', 'nursinghomesabc', 'news', 'prime', 'us', 'covid19', 'death', 'toll', 'tops', '150k', 'protecting', 'nursing', 'homes', 'roller', 'sk…']","['covid19', 'trump', 'nursinghomesabc', 'news', 'prime', 'u', 'covid19', 'death', 'toll', 'top', '150k', 'protect', 'nursing', 'home', 'roller', 'sk…']",0,1,0
252,  Im not sure how many times and how slowly it needs to be said for you people to get it… ,Tisairi,,,"['im', 'sure', 'many', 'times', 'slowly', 'needs', 'said', 'people', 'get', 'it…']","['im', 'sure', 'many', 'time', 'slowly', 'need', 'say', 'people', 'get', 'it…']",0,0,1
253,  Half the deaths are also made up Someone dies from a car crash who happened to have covi… ,von_tann,,,"['half', 'deaths', 'also', 'made', 'someone', 'dies', 'car', 'crash', 'happened', 'covi…']","['half', 'death', 'also', 'make', 'someone', 'dy', 'car', 'crash', 'happen', 'covi…']",0,0,1
254, If the members have recently had a covid test come back negative why,Photon2009,"Arizona, USA",,"['members', 'recently', 'covid', 'test', 'come', 'back', 'negative']","['member', 'recently', 'covid', 'test', 'come', 'back', 'negative']",0,0,1
255,Health officials contacting LincolnWay East prom attendees after positive COVID19 tests ,DailySouthtown,"Tinley Park, IL",,"['health', 'officials', 'contacting', 'lincolnway', 'east', 'prom', 'attendees', 'positive', 'covid19', 'tests']","['health', 'official', 'contact', 'lincolnway', 'east', 'prom', 'attendee', 'positive', 'covid19', 'test']",1,0,0
256,My great aunt just got admitted to the hospital for COVID19 Prayers would be greatly appreciated right now,peachpadme,"Albuquerque, NM",,"['great', 'aunt', 'got', 'admitted', 'hospital', 'covid19', 'prayers', 'would', 'greatly', 'appreciated', 'right']","['great', 'aunt', 'get', 'admitted', 'hospital', 'covid19', 'prayer', 'would', 'greatly', 'appreciate', 'right']",1,0,0
257,As a nursing student I feel sooo conflicted about my school being open in the fall bc we need clinical hours but also covid,swiftsgreys,Planet Earth,,"['nursing', 'student', 'feel', 'sooo', 'conflicted', 'school', 'open', 'fall', 'bc', 'need', 'clinical', 'hours', 'also', 'covid']","['nurse', 'student', 'feel', 'sooo', 'conflict', 'school', 'open', 'fall', 'bc', 'need', 'clinical', 'hour', 'also', 'covid']",0,1,0
258,Mapping COVID19 spread in Melbourne shows link to job types and ability to stay homes Director… ,the_AUO,"Melbourne, Victoria",,"['mapping', 'covid19', 'spread', 'melbourne', 'shows', 'link', 'job', 'types', 'ability', 'stay', 'homes', 'director…']","['map', 'covid19', 'spread', 'melbourne', 'show', 'link', 'job', 'type', 'ability', 'stay', 'home', 'director…']",0,1,0
259,Exclusive Buddy first dog to test positive for COVID19 in the US has died  via ,StephanieCFoxJD,Connecticut - U.S.A.,,"['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died', 'via']","['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die', 'via']",1,0,0
260,What in the flying fuck makes someone think faking their death is ok especially when people have already lost so mu… ,ParadoxPlussy,thinking of something funny ,,"['flying', 'fuck', 'makes', 'someone', 'think', 'faking', 'death', 'ok', 'especially', 'people', 'already', 'lost', 'mu…']","['fly', 'fuck', 'make', 'someone', 'think', 'fake', 'death', 'ok', 'especially', 'people', 'already', 'lose', 'mu…']",1,0,0
261,Exclusive Buddy first dog to test positive for COVID19 in the US has died ,StellaBraintree,Corner of Broad & Wonderland,,"['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'us', 'died']","['exclusive', 'buddy', 'first', 'dog', 'test', 'positive', 'covid19', 'u', 'die']",1,0,0
